ANO,COD_MUNICIPIO,NOME_MUNICIPIO,DEPENDENCIA_ADM,MEDIA_GERAL_CN,MEDIA_GERAL_CH,MEDIA_GERAL_LC,MEDIA_GERAL_MT,MEDIA_GERAL_REDACAO,MEDIA_CN_F,MEDIA_CH_F,MEDIA_LC_F,MEDIA_MT_F,MEDIA_REDACAO_F,MEDIA_CN_M,MEDIA_CH_M,MEDIA_LC_M,MEDIA_MT_M,MEDIA_REDACAO_M,TAXA_APROVACAO_3S,NOTA_SAEB_MT,NOTA_SAEB_LC,IDEB,PIB_MUNICIPIO,PIB_PER_CAPITA,VALOR_ADM_PUBLICA,ACESSO_A_INTERNET(%),ALUNOS_COM_ACESSO_A_INTERNET(%),ESCOLAS_COM_LABORATÓRIO_DE_INFORMÁTICA(%),ESCOLAS_COM_DESKTOP_PARA_ALUNOS(%),ESCOLAS_COM COMPUTADOR_PORTATIL_PARA_ALUNOS(%),ESCOLAS_COM_TABLET_PARA _ALUNOS(%),ESCOLAS_COM_EQUIPAMENTOS_PARA_ACESSO_A_INTERNET_DOS_ALUNOS(%),ESCOLAS_COM_ATENDIMENTO_EDUCACIONAL_ESPECIALIZADO(%),ESCOLAS_COM_EJA_NO_ENSINO_MEDIO(%),TOTAL_DE_ESCOLAS_POR_DEPENDENCIA
2017,2500106,Água Branca,2,468.99,473.44,480.21,486.92,517.95,458.61,477.11,484.32,473.36,555.56,485.49,467.6,473.69,508.47,458.24,94.2,273.19,265.58,3.8,77222.249,7528.0,48826.723,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2500205,Aguiar,2,456.46,431.84,436.61,457.4,413.66,456.59,421.86,451.2,458.69,451.82,456.32,443.38,419.72,455.89,369.47,100.0,237.0,232.74,3.1,47394.371,8521.1,26468.779,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,1
2017,2500304,Alagoa Grande,2,482.92,486.61,474.58,487.11,527.22,467.56,465.06,466.21,463.36,545.23,497.61,507.22,482.59,509.81,510.0,81.9,240.33,243.36,2.4,266622.078,9333.87,130140.026,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,2
2017,2500403,Alagoa Nova,2,500.91,497.83,479.39,478.82,501.65,491.1,492.12,484.1,466.79,512.38,514.33,505.66,472.94,495.3,486.96,90.0,253.33,254.4,2.8,225944.787,10921.01,93793.152,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2500403,Alagoa Nova,3,496.8,399.2,502.9,510.0,360.0,,,,,,496.8,399.2,502.9,510.0,360.0,90.0,253.33,254.4,2.8,225944.787,10921.01,93793.152,,,,,,,,,,
2017,2500502,Alagoinha,2,482.19,478.23,467.53,478.22,487.67,475.63,463.84,466.31,467.99,497.95,489.72,494.74,468.94,489.96,475.88,87.5,257.83,260.19,3.2,108721.302,7516.68,67607.575,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2500536,Alcantil,2,483.6,513.46,480.43,492.51,546.32,488.35,519.09,476.15,482.09,555.0,475.46,503.81,487.77,510.37,531.43,89.7,261.27,263.16,3.4,42304.545,7693.13,28182.413,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,1
2017,2500577,Algodão de Jandaíra,2,475.92,480.29,445.38,440.98,350.0,481.6,490.99,462.4,437.57,388.0,466.47,462.47,417.0,446.65,286.67,100.0,228.17,223.97,2.8,25919.386,10363.61,17783.091,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2500601,Alhandra,2,474.04,463.6,456.19,461.5,457.14,472.8,464.28,468.9,456.64,471.11,475.93,462.57,436.71,468.94,435.74,86.9,220.7,214.62,2.3,1110449.389,56716.35,107398.522,100.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,100.0,2
2017,2500601,Alhandra,3,484.5,431.0,455.3,356.9,460.0,484.5,431.0,455.3,356.9,460.0,,,,,,86.9,220.7,214.62,2.3,1110449.389,56716.35,107398.522,,,,,,,,,,
2017,2500700,São João do Rio do Peixe,2,470.09,468.33,465.95,466.31,461.79,463.22,470.22,466.99,453.0,456.3,485.54,464.1,463.6,496.27,474.17,85.7,250.55,247.59,2.9,171751.631,9573.67,80031.549,66.67,0.0,66.67,0.0,0.0,0.0,0.0,66.67,100.0,3
2017,2500700,São João do Rio do Peixe,3,412.7,457.6,490.8,510.0,340.0,,,,,,412.7,457.6,490.8,510.0,340.0,85.7,250.55,247.59,2.9,171751.631,9573.67,80031.549,,,,,,,,,,
2017,2500734,Amparo,2,460.31,413.59,453.97,466.86,347.69,438.62,418.58,445.32,452.25,326.67,478.9,409.31,461.39,479.39,365.71,90.9,234.81,232.62,2.9,24392.912,10860.6,16048.422,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2500734,Amparo,3,485.1,402.1,472.6,372.3,480.0,485.1,402.1,472.6,372.3,480.0,,,,,,90.9,234.81,232.62,2.9,24392.912,10860.6,16048.422,,,,,,,,,,
2017,2500775,Aparecida,2,490.04,498.64,476.43,485.02,509.0,479.26,488.93,472.9,469.96,522.22,512.43,518.82,483.76,516.29,481.54,91.1,261.1,269.19,3.8,72218.979,8566.9,38671.527,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,1
2017,2500809,Araçagi,2,466.6,469.63,461.86,463.9,477.26,458.12,465.2,462.24,460.88,476.59,477.47,475.32,461.37,467.76,478.12,93.0,235.36,240.66,2.9,167593.063,9856.68,80306.644,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2500908,Arara,2,486.99,488.28,482.51,474.19,504.0,478.68,486.75,487.17,471.01,512.57,498.63,490.42,475.99,478.64,492.0,88.6,264.69,273.46,2.7,98835.197,7300.58,60064.214,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2501005,Araruna,2,484.66,469.57,469.49,473.84,520.76,481.56,464.97,467.48,469.76,525.4,489.31,476.46,472.5,479.96,513.81,90.8,238.46,235.97,2.6,165492.831,8105.24,93775.466,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2501104,Areia,2,480.13,485.56,471.46,473.39,517.89,474.88,474.99,470.61,464.2,529.54,487.09,499.59,472.59,485.59,502.45,89.6,263.96,256.46,3.4,232703.478,10217.05,100562.423,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,3
2017,2501153,Areia de Baraúnas,2,450.06,435.16,439.7,432.0,380.0,460.04,428.96,463.66,439.21,340.0,440.07,441.36,415.74,424.79,420.0,100.0,240.83,226.41,3.3,18677.629,8785.34,13858.421,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1
